MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
777	0.191893	158177516	0.891512	1408802010
778	0.185762	158786688	0.868133	1414246455
779	0.186073	159397422	0.870288	1419704909
780	0.193693	160009720	0.890729	1425177390
781	0.203351	160623584	0.958565	1430663916
782	0.197373	161239016	0.908315	1436164505
783	0.190913	161856018	0.929825	1441679175
784	0.206986	162474592	0.922323	1447207944
785	0.193232	163094740	0.925151	1452750830
786	0.201975	163716464	0.895394	1458307851
787	0.197076	164339766	0.937124	1463879025
788	0.195221	164964648	0.958949	1469464370
789	0.21059	165591112	0.963571	1475063904
790	0.178484	166219160	0.965641	1480677645
791	0.19848	166848794	0.936239	1486305611
792	0.193604	167480016	0.942864	1491947820
793	0.200955	168112828	0.972314	1497604290
794	0.208423	168747232	0.969359	1503275039
795	0.203484	169383230	0.950909	1508960085
796	0.193765	170020824	0.979339	1514659446
797	0.205619	170660016	0.968273	1520373140
798	0.229228	171300808	1.02071	1526101185
799	0.220869	171943202	1.0023	1531843599
800	0.23313	172587200	1.03505	1537600400
801	0.214809	173232804	1.05632	1543371606
802	0.228055	173880016	1.05174	1549157235
803	0.209026	174528838	1.02523	1554957305
804	0.229315	175179272	1.05268	1560771834
805	0.21407	175831320	1.06709	1566600840
806	0.226122	176484984	1.07665	1572444341
807	0.235376	177140266	1.09384	1578302355
808	0.227482	177797168	1.05268	1584174900
809	0.214552	178455692	1.06475	1590061994
810	0.229509	179115840	1.08802	1595963655
811	0.241662	179777614	1.09135	1601879901
812	0.218872	180441016	1.09187	1607810750
813	0.227755	181106048	1.10901	1613756220
814	0.229022	181772712	1.12708	1619716329
815	0.215082	182441010	1.12052	1625691095
816	0.2408	183110944	1.09261	1631680536
817	0.226909	183782516	1.10948	1637684670
818	0.237968	184455728	1.12405	1643703515
819	0.253105	185130582	1.13232	1649737089
820	0.224158	185807080	1.12938	1655785410
821	0.228115	186485224	1.15135	1661848496
822	0.236751	187165016	1.12052	1667926365
823	0.248473	187846458	1.16405	1674019035
824	0.233533	188529552	1.10609	1680126524
825	0.235435	189214300	1.14338	1686248850
826	0.236696	189900704	1.16129	1692386031
827	0.228632	190588766	1.18143	1698538085
828	0.240078	191278488	1.11881	1704705030
829	0.243226	191969872	1.14024	1710886884
830	0.238214	192662920	1.16171	1717083665
831	0.244576	193357634	1.16837	1723295391
832	0.238452	194054016	1.18497	1729522080
833	0.257353	194752068	1.21145	1735763750
834	0.256832	195451792	1.23715	1742020419
835	0.251825	196153190	1.22428	1748292105
836	0.290132	196856264	1.23377	1754578826
837	0.251039	197561016	1.1762	1760880600
838	0.262023	198267448	1.23111	1767197445
839	0.258758	198975562	1.22068	1773529379
840	0.270901	199685360	1.24632	1779876420
841	0.248393	200396844	1.20824	1786238586
842	0.252438	201110016	1.20905	1792615895
843	0.253419	201824878	1.21662	1799008365
844	0.272346	202541432	1.20441	1805416014
845	0.26117	203259680	1.26391	1811838860
846	0.251979	203979624	1.24012	1818276921
847	0.270021	204701266	1.24268	1824730215
848	0.271118	205424608	1.23399	1831198760
849	0.28473	206149652	1.25553	1837682574
850	0.283579	206876400	1.30511	1844181675
851	0.263505	207604854	1.34793	1850696081
852	0.277636	208335016	1.29779	1857225810
853	0.297311	209066888	1.30642	1863770880
854	0.28964	209800472	1.29823	1870331309
855	0.268171	210535770	1.35772	1876907115
856	0.283005	211272784	1.37884	1883498316
857	0.276546	212011516	1.29232	1890104930
858	0.276967	212751968	1.34713	1896726975
859	0.292576	213494142	1.31846	1903364469
860	0.282419	214238040	1.28534	1910017430
861	0.2724	214983664	1.36817	1916685876
862	0.288448	215731016	1.35147	1923369825
863	0.297857	216480098	1.3625	1930069295
864	0.284327	217230912	1.37641	1936784304
865	0.298052	217983460	1.34925	1943514870
866	0.277795	218737744	1.36235	1950261011
867	0.285007	219493766	1.43806	1957022745
868	0.382549	220251528	1.52004	1963800090
869	0.385314	221011032	1.57245	1970593064
870	0.389014	221772280	1.62153	1977401685
871	0.359148	222535274	1.58675	1984225971
872	0.383067	223300016	1.60394	1991065940
873	0.304035	224066508	1.49879	1997921610
874	0.304159	224834752	1.46661	2004792999
875	0.287272	225604750	1.43664	2011680125
876	0.303341	226376504	1.61231	2018583006
877	0.323172	227150016	1.50803	2025501660
878	0.346007	227925288	1.77402	2032436105
879	0.345361	228702322	1.65519	2039386359
880	0.32669	229481120	1.53152	2046352440
881	0.334578	230261684	1.45866	2053334366
882	0.329577	231044016	1.46852	2060332155
883	0.330273	231828118	1.56081	2067345825
884	0.368247	232613992	1.56606	2074375394
885	0.336858	233401640	1.60207	2081420880
886	0.357808	234191064	1.52756	2088482301
887	0.331859	234982266	1.58319	2095559675
888	0.337119	235775248	1.49079	2102653020
889	0.327216	236570012	1.52361	2109762354
890	0.307364	237366560	1.61192	2116887695
891	0.341133	238164894	1.47484	2124029061
892	0.331228	238965016	1.52754	2131186470
893	0.343464	239766928	1.56266	2138359940
894	0.328581	240570632	1.55432	2145549489
895	0.370574	241376130	1.62303	2152755135
896	0.371666	242183424	1.7206	2159976896
897	0.357133	242992516	1.72218	2167214790
898	0.451732	243803408	1.81187	2174468835
899	0.353077	244616102	1.69672	2181739049
900	0.3608	245430600	1.72379	2189025450
901	0.446091	246246904	1.64424	2196328056
902	0.363894	247065016	1.5956	2203646885
903	0.334715	247884938	1.75598	2210981955
904	0.319066	248706672	1.60633	2218333284
905	0.359654	249530220	1.66653	2225700890
906	0.365239	250355584	1.63193	2233084791
907	0.330227	251182766	1.68115	2240485005
908	0.365032	252011768	1.75314	2247901550
909	0.328504	252842592	1.64109	2255334444
910	0.378647	253675240	1.70171	2262783705
911	0.381495	254509714	1.65803	2270249351
912	0.411132	255346016	1.86226	2277731400
913	0.332966	256184148	1.76985	2285229870
914	0.345339	257024112	1.69237	2292744779
915	0.355006	257865910	1.7006	2300276145
916	0.325569	258709544	1.61978	2307823986
917	0.318081	259555016	1.6538	2315388320
918	0.383674	260402328	1.65067	2322969165
919	0.350659	261251482	1.59681	2330566539
920	0.357061	262102480	1.5823	2338180460
921	0.359675	262955324	1.58614	2345810946
922	0.335561	263810016	1.63221	2353458015
923	0.396252	264666558	1.7951	2361121685
924	0.450921	265524952	1.882	2368801974
925	0.440711	266385200	2.00199	2376498900
926	0.491494	267247304	1.8387	2384212481
927	0.384391	268111266	1.69541	2391942735
928	0.34632	268977088	1.7565	2399689680
929	0.388493	269844772	1.87535	2407453334
930	0.412247	270714320	1.88034	2415233715
931	0.357271	271585734	1.87384	2423030841
932	0.411761	272459016	1.7463	2430844730
933	0.365655	273334168	1.75256	2438675400
934	0.363545	274211192	1.73168	2446522869
935	0.342772	275090090	1.70272	2454387155
936	0.371833	275970864	1.81324	2462268276
937	0.360528	276853516	1.83137	2470166250
938	0.376748	277738048	1.75281	2478081095
939	0.366406	278624462	1.86074	2486012829
940	0.383807	279512760	1.86221	2493961470
941	0.361267	280402944	1.87307	2501927036
942	0.405238	281295016	1.91349	2509909545
943	0.430582	282188978	1.81274	2517909015
944	0.393573	283084832	1.85166	2525925464
945	0.485777	283982580	1.98265	2533958910
946	0.428927	284882224	1.98981	2542009371
947	0.373711	285783766	1.98568	2550076865
948	0.408126	286687208	1.96123	2558161410
949	0.416635	287592552	1.81237	2566263024
950	0.411422	288499800	1.81837	2574381725
951	0.405744	289408954	1.86718	2582517531
952	0.38876	290320016	1.77627	2590670460
953	0.404564	291232988	1.89091	2598840530
954	0.38937	292147872	1.9162	2607027759
955	0.42606	293064670	1.98716	2615232165
956	0.422723	293983384	2.05987	2623453766
957	0.418862	294904016	2.04996	2631692580
958	0.486421	295826568	2.02059	2639948625
959	0.403903	296751042	1.93975	2648221919
960	0.435996	297677440	1.88832	2656512480
961	0.442599	298605764	2.02389	2664820326
962	0.467705	299536016	2.05474	2673145475
963	0.442362	300468198	2.04028	2681487945
964	0.546625	301402312	2.13677	2689847754
965	0.467218	302338360	2.02257	2698224920
966	0.473109	303276344	2.06482	2706619461
967	0.504496	304216266	2.07422	2715031395
968	0.413461	305158128	2.07122	2723460740
969	0.448286	306101932	2.37309	2731907514
970	0.449204	307047680	2.16341	2740371735
971	0.522686	307995374	2.17475	2748853421
972	0.507928	308945016	2.18462	2757352590
973	0.442267	309896608	2.25788	2765869260
974	0.492242	310850152	2.1465	2774403449
975	0.579634	311805650	2.29049	2782955175
976	0.549049	312763104	2.24986	2791524456
977	0.481278	313722516	2.15958	2800111310
978	0.475366	314683888	2.08999	2808715755
979	0.454764	315647222	2.09136	2817337809
980	0.454134	316612520	2.1142	2825977490
981	0.449261	317579784	1.99192	2834634816
982	0.426789	318549016	2.01973	2843309805
983	0.452734	319520218	2.24714	2852002475
984	0.435374	320493392	2.20685	2860712844
985	0.450734	321468540	2.33334	2869440930
986	0.511278	322445664	2.17856	2878186751
987	0.562413	323424766	2.24834	2886950325
988	0.552467	324405848	2.17379	2895731670
989	0.509415	325388912	2.24179	2904530804
990	0.452009	326373960	2.27025	2913347745
991	0.492284	327360994	2.15547	2922182511
992	0.487141	328350016	2.11743	2931035120
993	0.439372	329341028	2.09384	2939905590
994	0.446312	330334032	2.15329	2948793939
995	0.448581	331329030	2.09658	2957700185
996	0.440726	332326024	2.08704	2966624346
997	0.445149	333325016	2.08108	2975566440
998	0.565909	334326008	2.36846	2984526485
999	0.527515	335329002	2.28097	2993504499
1000	0.512328	336334000	2.35851	3002500500
